recipes_id,recipes_name,recipes_time_to_completion,recipes_meal_type,recipes_reviews,recipes_nutrition,recipes_ingredients,recipes_directions
admin1,"Simple Waffles","30 minutes",Breakfast,null,"382 calories","Waffle Iron 2 eggs 2 cups of flour 1 1/3 cup of milk 1/2 cup of vegatable oil 1 tablespoon white sugar 4 teaspoons baking powder 1/4 teaspoon salt 1/2 teaspoon vanilla extract nonstick cooking spray","Preheat a waffle iron Whisk eggs in a large bowl until light and fluffy. Add flour milk and vegetable oil and mix to combine. Whisk in sugar then mix in baking powder salt and vanilla just until smooth Spray the preheated waffle iron with nonstick spray. Pour batter onto the hot waffle iron and cook until golden brown and the iron stops steaming. 3 to 5 minutes."
admin2,"Classic Hash Browns","30 minutes",Breakfast,null,"334 calories","2 peeled potatoes 3 tablespoons of butter (1 pinch of cayenne pepper and 1 pinch of paprika) salt and pepper","Shred potatoes into a large bowl filled with cold water. Stir until water is cloudy; drain and cover potatoes again with fresh cold water. Stir again to dissolve excess starch. Drain potatoes well and pat dry with paper towels squeeze out any excess moisture. Heat clarified butter in a large nonstick pan over medium heat. Sprinkle shredded potatoes into hot butter in an even layer. Season with cayenne pepper paprika salt and black pepper. Cook potatoes until a brown crust forms on the bottom(5 minutes). Flip or stir and continue to cook until potatoes are browned and crusty all over. About 5 more minutes."
admin3,"Microwave Scrambled Eggs","10 minutes",Breakfast,null,"141 calories","4 eggs 1/4 cup milk 1/8 teaspoon salt","Gather ingredients. Break the eggs into a microwave-proof mixing bowl. Add milk and salt and mix well Pop the bowl into the microwave and cook on high power for 30 seconds. Remove bowl and beat eggs very well scraping down the sides of the bowl and return to the microwave for another 30 seconds."
admin4,"Homemade Breakfast Sausage","20 minutes",Breakfast,null,"409 calories","1 tablespoon brown sugar 2 teaspoons dried sage 2 teaspoons salt 1 teaspoon ground black pepper 1/4 teaspoon dried marjoram 1/8 teaspoon crushed red pepper flakes 1 pinch ground clothes 2 lbs ground pork","Gather ingredients Mix together brown sugar sage salt black pepper marjoram red pepper flakes and cloves in a small bowl until well combined. Place pork in a large bowl. Add spice mixture and mix with your hands until well combined. Form mixture into 6 patties. Heat a large skillet over medium-high heat. Add patties and saute until browned and crispy about 5 minutes per side. An instant-read thermometer inserted into the center should read at least 160 degrees F."
admin5,"Hot Apple Cereal","30 minutes",Breakfast,null,"380 calories","6 Honeycrisp apples 1 cup canned coconut milk 2/3 cup roasted cashews 2 tablespoons ground flaxseed 2 teaspoons ground cinnamon 1/2 cup raisins","Cut off the sides/cheeks from 1 apple and slice. Set aside 1/4 cup of the coconut milk. Peel and core the remaining 5 apples and cut into 1-inch chunks. Add the apple chunks remaining 3/4 cup coconut milk and 2/3 cup water to a medium saucepan and bring to a simmer over medium-high heat. Simmer while stirring occasionally until the liquid is reduced by half and the apples are tender and can be easily mashed with a fork should take around 10 to 12 minutes."
admin6,"Whole-Wheat Apple Pancakes","15 minutes",Breakfast,null,"230 calories","1 cup low-fat buttermilk 3/4 cup nonfat milk 2 large eggs 1 tablespoon honey 6 tablespoons pure maple syrup 1 diced medium apple 3/4 cup all-purpose flour 3/4 cup whole-wheat four 2 teaspoons baking powder 1/2 teaspoon baking soda 1/4 teaspoon salt","Preheat the oven to 250. Put the apple in a microwave-safe bowl and tightly cover with plastic wrap then microwave on high until softened should be about 2 minutes. In a large bowl whisk the flours baking powder baking soda and salt. In a small bowl whisk the buttermilk nonfat milk eggs and honey and then slowly add the dry ingredients stirring until just combined. Heat a large nonstick griddle or skillet over medium heat. Spoon 1/4 cup batter onto the griddle for each pancake and sprinkle each with apple. Then drizzle a little more batter over the apple. Cook until the tops are bubbly and the edges are dry should be about 2 minutes. Flip and cook until golden brown should be another 1 to 2 more minutes. Keep the pancakes warm on a baking sheet in the oven while making the rest. Place 2 pancakes on each plate. Drizzle with the syrup."
admin7,"Oatmeal Smoothie","10 minutes",Breakfast,null,"240 calories","1/2 cup old-fashioned rolled oats 1 small banana, peeled and broken into 4 pieces 1 1/2 cups plain unsweetened coconut milk beverage Juice of 1/2 small lemon (about 1 tablespoon) 1/2 teaspoon pure vanilla extract Kosher salt 3/4 cup frozen unsweetened mango cube 3/4 cup frozen unsweetened pineapple cubes Fresh pineapple wedges for garnish","Add the oats to a blender cover and blend to a fine powder. Add 2 ice cubes banana coconut milk lemon juice vanilla and 1/8 teaspoon salt cover and blend until smooth. Add the mango and pineapple cover and blend until smooth should be at least 1 minute. Pour the smoothie into two large chilled glasses and garnish with a pineapple wedge."
admin8,"Banana Waffles","30 minutes",Breakfast,null,"330 calories","6 beaten large eggs 3 very ripe bananas peeled and mashed 3 tablespoons virgin coconut oil melted and cooled slightly. Plus more for the waffle iron 1 1/2 teaspoons pure vanilla extract 6 tablespoons coconut flour 1 1/2 teaspoons baking powder 1/4 teaspoon ground cinnamon 1/4 teaspoon kosher salt Raspberries raw honey and chopped toasted pecans for serving","Whisk the eggs bananas coconut oil and vanilla in a medium bowl until completely combined. Vigorously whisk in the coconut flour baking powder cinnamon and salt until no lumps of dry flour remain. Prepare a waffle iron for medium-high heat and brush both sides with coconut oil. Fill each section of the iron about three-quarters of the way full (there should still be some waffle iron showing). Cook until the waffles are golden brown and slightly crisp should be about 6 to 10 minutes. Keep the waffles warm in a 200-degree F oven or covered with foil on a plate. Repeat with the remaining batter. Serve with raspberries a drizzle of honey and chopped pecans."
admin9,"Green Apple Sour-Dough Pancakes","40 minutes",Breakfast,null,"130 calories","SOURDOUGH: 1 cup whole milk 1 teaspoon active dry yeast (1/2 packet) 1/2 cup apple cider 3 tablespoons packed light brown sugar 2 tablespoons unsalted melted butter 1 cup all-purpose flour PANCAKES: 1/2 cup all-purpose flour 1 large egg slightly beaten 1 teaspoon baking soda 1 small tart green apple unpeeled and diced 1 to 2 tablespoons unsalted butter Maple syrup or honey for serving Chopped pecans for garnish","Make the sourdough starter: Warm the milk in a small saucepan over low heat to about 110 degrees F. Transfer to a medium bowl sprinkle with the yeast and let stand until foamy should be about 5 minutes. Whisk in the cider brown sugar butter and 1 cup flour until smooth. Cover with plastic wrap and let stand at room temperature overnight. The next morning make the pancakes: Whisk 1/2 cup flour the egg baking soda and apple into the sourdough starter. Melt 1 tablespoon butter in a cast-iron griddle or nonstick skillet over medium heat and swirl to coat. Pour about 1/4 cup batter onto the griddle for each pancake. Cook until the tops are bubbly and the edges set shuld be about 3 minutes then flip and cook until golden and cooked through should be about 1 to 2 more minutes. Repeat with the remaining batter adding more butter as needed. Drizzle with syrup and garnish with pecans if desired."
admin10,"Huevos Rancheros","40 minutes",Breakfast,null,"360 calories","2 small tomatoes 1 small onion 1 chopped medium jalapeno pepper 2 cloves garlic: 1 chopped 1 smashed 1/2 teaspoon hot sauce 1 teaspoon ground cumin Kosher salt and freshly ground pepper 2 tablespoons plus 2 teaspoons extra-virgin olive oil 1 15.5-ounce can black beans already drained and rinsed 4 large eggs 4 6-inch warmed corn tortillas 1/2 cup crumbled feta cheese 1/4 cup chopped fresh cilantro","Prepare the salsa: Set a grater in a large bowl; grate the tomatoes and onion into the bowl. Add the jalapeno chopped garlic hot sauce cumin and salt and pepper to taste. Heat a medium skillet over low heat and add 2 teaspoons olive oil. Fry the salsa in the oil until it thickens slightly should be about 3 minutes. Remove to a bowl and set aside. Add the beans to the same pan along with the smashed garlic 1/2 cup warm water and a pinch of salt; cook over low heat until warmed through smashing slightly with a fork. Meanwhile heat the remaining 2 tablespoons oil in another skillet. Fry the eggs sunny-side up; season with pepper. Place 1 warm tortilla on each plate. Divide the beans among them then top with a fried egg some salsa and cheese. Sprinkle with cilantro and serve with the remaining salsa."